iter	Passed	Remaining
0	2	10877
1	5	13188
2	8	14731
3	11	14300
4	13	13364
5	14	12358
6	16	11612
7	17	11085
8	19	10747
9	20	10302
10	22	10062
11	23	9809
12	24	9589
13	26	9371
14	27	9291
15	29	9148
16	30	9035
17	32	8917
18	33	8863
19	35	8788
20	36	8747
21	38	8650
22	39	8637
23	41	8623
24	43	8572
25	44	8496
26	45	8456
27	47	8395
28	48	8351
29	50	8292
30	51	8254
31	52	8201
32	54	8187
33	55	8139
34	57	8097
35	58	8054
36	59	8036
37	61	7996
38	62	7974
39	63	7933
40	65	7915
41	66	7883
42	68	7865
43	69	7838
44	71	7831
45	72	7801
46	73	7786
47	75	7762
48	76	7756
49	78	7739
50	79	7738
51	81	7733
52	82	7722
53	84	7714
54	85	7711
55	87	7693
56	88	7684
57	89	7666
58	91	7658
59	92	7640
60	94	7635
61	95	7611
62	97	7607
63	98	7590
64	100	7593
65	101	7571
66	102	7571
67	104	7568
68	105	7555
69	107	7552
70	108	7537
71	110	7535
72	111	7519
73	112	7513
74	114	7500
75	115	7498
76	117	7488
77	118	7487
78	120	7476
79	121	7473
80	122	7465
81	124	7472
82	126	7475
83	127	7467
84	128	7457
85	130	7470
86	132	7473
87	133	7474
88	135	7464
89	136	7461
90	138	7449
91	139	7450
92	141	7440
93	142	7439
94	143	7424
95	145	7431
96	146	7425
97	148	7424
98	149	7416
99	151	7420
100	152	7418
101	154	7418
102	155	7409
103	157	7410
104	158	7403
105	160	7403
106	161	7394
107	163	7394
108	164	7389
109	166	7390
110	167	7382
111	169	7397
112	171	7395
113	172	7393
114	173	7381
115	175	7379
116	176	7372
117	178	7375
118	179	7369
119	181	7369
120	182	7364
121	184	7363
122	185	7356
123	186	7353
124	188	7342
125	189	7342
126	191	7335
127	192	7340
128	194	7335
129	195	7332
130	197	7326
131	198	7326
132	200	7324
133	201	7324
134	203	7318
135	204	7316
136	206	7318
137	207	7324
138	209	7320
139	210	7321
140	212	7315
141	213	7315
142	215	7312
143	216	7316
144	218	7312
145	219	7311
146	221	7304
147	222	7308
148	224	7303
149	225	7302
150	227	7297
151	228	7297
152	230	7292
153	231	7291
154	233	7287
155	234	7285
156	235	7277
157	237	7276
158	238	7276
159	240	7278
160	242	7274
161	243	7271
162	244	7266
163	246	7266
164	247	7260
165	249	7258
166	250	7254
167	252	7254
168	253	7248
169	255	7250
170	256	7243
171	258	7242
172	259	7239
173	260	7237
174	262	7239
175	264	7243
176	265	7240
177	267	7239
178	268	7237
179	270	7239
180	271	7235
181	273	7235
182	274	7233
183	276	7233
184	277	7229
185	279	7228
186	280	7221
187	282	7221
188	283	7216
189	285	7215
190	286	7212
191	288	7212
192	289	7206
193	290	7205
194	292	7199
195	293	7199
196	295	7195
197	296	7194
198	298	7189
199	299	7188
200	300	7182
201	302	7183
202	303	7181
203	305	7180
204	306	7178
205	308	7178
206	310	7178
207	311	7178
208	313	7176
209	314	7176
210	316	7174
211	317	7174
212	318	7169
213	320	7169
214	321	7165
215	323	7163
216	324	7159
217	326	7158
218	327	7154
219	329	7151
220	330	7147
221	332	7154
222	334	7157
223	335	7157
224	336	7150
225	338	7147
226	339	7142
227	341	7142
228	342	7138
229	344	7136
230	345	7131
231	346	7130
232	348	7126
233	349	7127
234	351	7124
235	352	7121
236	354	7119
237	355	7119
238	357	7117
239	358	7119
240	360	7116
241	361	7115
242	363	7119
243	365	7118
244	366	7115
245	368	7114
246	369	7112
247	371	7112
248	372	7110
249	374	7108
250	375	7105
251	377	7105
252	379	7112
253	381	7119
254	382	7117
255	384	7117
256	385	7114
257	387	7114
258	388	7113
259	390	7113
260	391	7113
261	393	7113
262	394	7111
263	396	7109
264	397	7106
265	399	7106
266	400	7103
267	402	7107
268	403	7104
269	405	7104
270	406	7101
271	408	7102
272	410	7100
273	411	7098
274	412	7095
275	414	7094
276	415	7092
277	417	7089
278	418	7083
279	420	7083
280	421	7079
281	423	7079
282	424	7078
283	426	7077
284	427	7075
285	429	7073
286	430	7070
287	432	7070
288	433	7068
289	435	7067
290	436	7066
291	438	7063
292	439	7063
293	441	7060
294	442	7061
295	444	7057
296	445	7057
297	447	7055
298	448	7054
299	450	7051
300	451	7050
301	453	7047
302	454	7045
303	455	7042
304	457	7041
305	458	7038
306	460	7036
307	461	7033
308	463	7031
309	464	7027
310	465	7024
311	467	7026
312	469	7025
313	470	7025
314	472	7028
315	474	7026
316	475	7027
317	476	7022
318	478	7022
319	479	7019
320	481	7019
321	483	7017
322	484	7017
323	486	7014
324	487	7013
325	489	7011
326	490	7011
327	492	7009
328	493	7008
329	495	7006
330	496	7005
331	498	7002
332	499	7002
333	501	6999
334	502	6998
335	504	6996
336	505	6995
337	506	6992
338	508	6990
339	509	6987
340	511	6986
341	512	6982
342	514	6981
343	515	6978
344	517	6979
345	518	6978
346	520	6977
347	521	6975
348	523	6974
349	524	6971
350	526	6970
351	527	6967
352	529	6966
353	530	6966
354	532	6967
355	534	6967
356	535	6966
357	537	6963
358	538	6963
359	540	6964
360	541	6963
361	543	6961
362	544	6959
363	546	6956
364	547	6954
365	549	6955
366	550	6954
367	552	6952
368	553	6952
369	555	6950
370	557	6950
371	558	6947
372	560	6947
373	561	6944
374	563	6944
375	564	6942
376	566	6943
377	567	6940
378	569	6942
379	570	6940
380	572	6942
381	574	6940
382	575	6939
383	577	6936
384	578	6939
385	580	6938
386	582	6938
387	583	6938
388	585	6937
389	586	6935
390	588	6937
391	589	6935
392	591	6935
393	593	6934
394	594	6935
395	596	6936
396	598	6938
397	600	6938
398	601	6936
399	603	6936
400	604	6934
401	606	6933
402	607	6931
403	609	6930
404	610	6927
405	612	6927
406	613	6926
407	615	6923
408	616	6922
409	618	6919
410	619	6918
411	621	6915
412	622	6915
413	624	6914
414	625	6913
415	627	6911
416	628	6910
417	630	6907
418	631	6906
419	633	6904
420	634	6903
421	636	6900
422	637	6898
423	638	6895
424	640	6893
425	641	6891
426	643	6890
427	644	6888
428	646	6887
429	647	6884
430	649	6883
431	650	6881
432	652	6879
433	653	6877
434	655	6878
435	656	6876
436	658	6876
437	659	6873
438	661	6871
439	662	6869
440	664	6868
441	665	6865
442	667	6864
443	668	6861
444	670	6859
445	671	6857
446	673	6855
447	674	6854
448	675	6851
449	677	6849
450	679	6849
451	680	6847
452	682	6847
453	683	6843
454	684	6842
455	686	6839
456	687	6838
457	689	6836
458	690	6835
459	692	6832
460	693	6832
461	695	6829
462	696	6827
463	698	6825
464	699	6824
465	701	6822
466	702	6821
467	704	6820
468	705	6820
469	707	6818
470	708	6816
471	710	6814
472	711	6813
473	713	6810
474	714	6809
475	716	6808
476	717	6807
477	719	6805
478	720	6804
479	722	6802
480	724	6803
481	725	6802
482	727	6803
483	728	6800
484	730	6798
485	731	6796
486	733	6795
487	734	6792
