iter	Logloss
0	0.6620199616
1	0.6319230306
2	0.6011126444
3	0.5751760796
4	0.5536114748
5	0.5344762248
6	0.5158489035
7	0.5007979198
8	0.4933684409
9	0.4793581927
10	0.4670344652
11	0.4560887803
12	0.4470325402
13	0.4384536945
14	0.4308215092
15	0.4241288744
16	0.4180385722
17	0.4149283611
18	0.4105672316
19	0.4075137484
20	0.4044914932
21	0.4021875767
22	0.3963146818
23	0.3930652141
24	0.3895338926
25	0.3856068171
26	0.3822910597
27	0.3806394911
28	0.3772972626
29	0.3758737001
30	0.3739673263
31	0.3722724733
32	0.3704962332
33	0.3683228164
34	0.3668045062
35	0.3660573852
36	0.3646132116
37	0.3635443707
38	0.361482954
39	0.3600552201
40	0.3588244723
41	0.3576755846
42	0.3563957731
43	0.3556265237
44	0.3549829599
45	0.3539951671
46	0.3530012903
47	0.3509683181
48	0.3498969204
49	0.3490703353
50	0.3484603282
51	0.3470300339
52	0.3462760787
53	0.3453522992
54	0.3447009604
55	0.3440595026
56	0.3435719186
57	0.3418485005
58	0.3412372741
59	0.340716574
60	0.3400794719
61	0.3390502007
62	0.3377144842
63	0.3370783737
64	0.3365655157
65	0.3361405767
66	0.3352965548
67	0.3342942485
68	0.333681411
69	0.333344799
70	0.3328905439
71	0.3322053178
72	0.3312620695
73	0.3308418516
74	0.3305094545
75	0.3302571898
76	0.3297347805
77	0.3290666334
78	0.3286821836
79	0.328177301
80	0.3278688088
81	0.32765309
82	0.3272446394
83	0.3267726265
84	0.3262871328
85	0.3258076181
86	0.325403747
87	0.3248444775
88	0.3245472609
89	0.3241092311
90	0.3236934442
91	0.3232659827
92	0.3226474201
93	0.3221175157
94	0.3217520204
95	0.3214423073
96	0.3208919703
97	0.3203510349
98	0.319847615
99	0.3194017174
100	0.3189325332
101	0.3182036283
102	0.3177771848
103	0.3174509392
104	0.3172759092
105	0.3168466966
106	0.3165643798
107	0.315865204
108	0.3153087124
109	0.3152294975
110	0.3151664337
111	0.3148898829
112	0.3147643286
113	0.3144633889
114	0.3139974508
115	0.3138833577
116	0.3134997163
117	0.3131778983
118	0.3120262846
119	0.3114588795
120	0.3113081217
121	0.310855176
122	0.3105557651
123	0.3101190362
124	0.3100612578
125	0.3096666625
126	0.3095881017
127	0.3089237887
128	0.3085811004
129	0.3080949396
130	0.3076798652
131	0.3074103379
132	0.3072817779
133	0.3071394592
134	0.3063346476
135	0.3057960491
136	0.305467753
137	0.3049666929
138	0.3043509434
139	0.3042475295
140	0.303407317
141	0.3030096782
142	0.3029392486
143	0.3023214555
144	0.3015010334
145	0.3009829019
146	0.300586259
147	0.3004592397
148	0.3001295125
149	0.2997951363
150	0.2994725654
151	0.2991027867
152	0.2990381879
153	0.2989323508
154	0.2987783483
155	0.2984824493
156	0.2984360774
157	0.2981063466
158	0.2977629925
159	0.2975214077
160	0.2974556381
161	0.2972433424
162	0.296707806
163	0.2966640389
164	0.2964983942
165	0.2963091249
166	0.2961304063
167	0.295756549
168	0.2954231493
169	0.2950072071
170	0.2948210593
171	0.2945340166
172	0.2944913144
173	0.2944078852
174	0.2943223508
175	0.2940199577
176	0.2936744054
177	0.2933812446
178	0.2929102311
179	0.2927822343
180	0.292166252
181	0.2921212626
182	0.2913587869
183	0.2907137764
184	0.2906914085
185	0.2899996376
186	0.2894900509
187	0.289008297
188	0.2889798188
189	0.2886997566
190	0.2886785287
191	0.2879986382
192	0.287328451
193	0.2865230336
194	0.2864416127
195	0.2864050515
196	0.2861322017
197	0.2860959548
198	0.2855542402
199	0.2854732897
200	0.285269109
201	0.2846783267
202	0.2844811616
203	0.284449228
204	0.2837640887
205	0.2833461493
206	0.2831199743
207	0.2826255002
208	0.2822776155
209	0.2820921205
210	0.2820657069
211	0.2820378783
212	0.2817944356
213	0.2817356157
214	0.2806690393
215	0.2800163795
216	0.2794565762
217	0.2793738345
218	0.2793172669
219	0.2791401436
220	0.2791247092
221	0.2791039858
222	0.2787489695
223	0.2786875767
224	0.2783158469
225	0.2779027511
226	0.2777364666
227	0.2775806242
228	0.2774336645
229	0.2768255099
230	0.276805907
231	0.2767923914
232	0.2765765443
233	0.2764288381
234	0.2762015266
235	0.2758049129
236	0.2753017149
237	0.2748600561
238	0.274478636
239	0.274282028
240	0.2742560999
241	0.2740116604
242	0.2733196273
243	0.272727932
244	0.2723201471
245	0.2717754676
246	0.271553985
247	0.2714130531
248	0.2708785723
249	0.2703368749
250	0.2699388364
251	0.2698978901
252	0.2698849413
253	0.2694886331
254	0.2692980568
255	0.2685942526
256	0.2681931855
257	0.2677977247
258	0.2676658074
259	0.2673265904
260	0.266918162
261	0.2664078789
262	0.265977628
263	0.2655570398
264	0.2652911751
265	0.26509585
266	0.2650569062
267	0.2647428531
268	0.2643432532
269	0.2640538513
270	0.2636635395
271	0.2632570751
272	0.2630968287
273	0.2629638534
274	0.2624924267
275	0.2621068398
276	0.2618376892
277	0.2615836388
278	0.261452589
279	0.2611232957
280	0.2606990233
281	0.2602739721
282	0.2601480593
283	0.2598713322
284	0.2594012068
285	0.2593696321
286	0.2593568907
287	0.2593347013
288	0.2589590975
289	0.258448064
290	0.2580151675
291	0.2572135587
292	0.2568057147
293	0.2567937819
294	0.2567650955
295	0.2567516221
296	0.2564361768
297	0.2562637858
298	0.2562263682
299	0.2559472184
