iter	Passed	Remaining
0	0	229
1	1	216
2	2	204
3	2	198
4	3	195
5	3	191
6	4	188
7	5	185
8	5	177
9	6	176
10	6	176
11	7	175
12	7	175
13	8	174
14	9	172
15	9	171
16	10	171
17	10	170
18	11	170
19	12	169
20	12	169
21	13	168
22	13	167
23	14	167
24	15	166
25	15	166
26	16	165
27	16	164
28	17	164
29	18	163
30	18	162
31	19	162
32	19	161
33	20	161
34	21	160
35	21	159
36	22	159
37	23	158
38	23	157
39	24	157
40	24	156
41	25	155
42	25	155
43	26	154
44	27	153
45	27	153
46	28	152
47	28	152
48	29	151
49	30	150
50	30	149
51	31	149
52	31	148
53	32	147
54	33	147
55	33	146
56	34	145
57	34	145
58	35	144
59	35	143
60	36	143
61	37	142
62	37	142
63	38	141
64	38	140
65	39	140
66	40	139
67	40	138
68	41	138
69	41	137
70	42	137
71	43	136
72	43	135
73	44	135
74	44	134
75	45	134
76	46	133
77	46	132
78	47	132
79	47	131
80	48	130
81	48	130
82	49	129
83	50	129
84	50	128
85	51	128
86	52	127
87	52	126
88	53	126
89	53	125
90	54	125
91	55	124
92	55	124
93	56	123
94	56	122
95	57	122
96	58	121
97	58	121
98	59	120
99	59	119
100	60	119
101	61	118
102	61	118
103	62	117
104	62	116
105	63	116
106	64	115
107	64	114
108	65	114
109	65	113
110	66	113
111	67	112
112	67	111
113	68	111
114	68	110
115	69	110
116	70	109
117	70	108
118	71	108
119	71	107
120	72	107
121	73	106
122	73	105
123	74	105
124	74	104
125	75	104
126	76	103
127	76	103
128	77	102
129	77	101
130	78	101
131	79	100
132	79	100
133	80	99
134	81	99
135	81	98
136	82	97
137	82	97
138	83	96
139	84	96
140	84	95
141	85	94
142	85	94
143	86	93
144	86	92
145	87	92
146	88	91
147	88	91
148	89	90
149	89	89
150	90	89
151	91	88
152	91	88
153	92	87
154	92	86
155	93	86
156	94	85
157	94	84
158	95	84
159	95	83
160	96	83
161	97	82
162	97	82
163	98	81
164	98	80
165	99	80
166	99	79
167	100	78
168	101	78
169	101	77
170	102	77
171	102	76
172	103	76
173	104	75
174	104	74
175	105	74
176	105	73
177	106	73
178	107	72
179	107	71
180	108	71
181	108	70
182	109	69
183	110	69
184	110	68
185	111	68
186	111	67
187	112	66
188	112	66
189	113	65
190	114	65
191	114	64
192	115	63
193	115	63
194	116	62
195	117	62
196	117	61
197	118	60
198	118	60
199	119	59
200	119	59
201	120	58
202	121	57
203	121	57
204	122	56
205	122	56
206	123	55
207	124	54
208	124	54
209	125	53
210	125	53
211	126	52
212	126	51
213	127	51
214	128	50
215	128	50
216	129	49
217	129	48
218	130	48
219	131	47
220	131	47
221	132	46
222	132	45
223	133	45
224	133	44
225	134	44
226	135	43
227	135	42
228	136	42
229	136	41
230	137	41
231	137	40
232	138	39
233	139	39
234	139	38
235	140	38
236	140	37
237	141	36
238	142	36
239	142	35
240	143	35
241	143	34
242	144	33
243	145	33
244	145	32
245	146	32
246	146	31
247	147	30
248	148	30
249	148	29
250	149	29
251	149	28
252	150	27
253	150	27
254	151	26
255	152	26
256	152	25
257	153	24
258	153	24
259	154	23
260	155	23
261	155	22
262	156	21
263	156	21
264	157	20
265	157	20
266	158	19
267	159	19
268	159	18
269	160	17
270	161	17
271	161	16
272	162	16
273	162	15
274	163	14
275	164	14
276	164	13
277	165	13
278	165	12
279	166	11
280	167	11
281	167	10
282	168	10
283	168	9
284	169	8
285	169	8
286	170	7
287	171	7
288	171	6
289	172	5
290	172	5
291	173	4
292	174	4
293	174	3
294	175	2
295	175	2
296	176	1
297	177	1
298	177	0
299	178	0
